step,epoch,tokens,lr,mixing_step,gamma
6160,20,201539584,0.0028618469543803624,6159,0.43403365949090517
6180,20,202194944,0.002850432857968487,6179,0.43057839250751456
6200,20,202850304,0.002839012826024683,6199,0.4271351479068706
6220,20,203505664,0.002827587180665777,6219,0.42370404377818055
6240,20,204144640,0.0028164420794785103,6239,0.42037051757542193
6260,21,204800000,0.0028050062945513183,6259,0.4169637319483255
6280,21,205455360,0.0027935658554073877,6279,0.41356942920234524
6300,21,206110720,0.0027821210847391565,6299,0.41018772142167026
6320,21,206766080,0.002770672305361239,6319,0.40681871916691253
6340,21,207421440,0.0027592198402013194,6339,0.40346253147027594
6360,21,208076800,0.0027477640122910425,6359,0.4001192658309005
6380,21,208732160,0.002736305144756908,6379,0.3967890282103841
6400,21,209387520,0.0027248435608111486,6399,0.39347192302847617
6420,21,210042880,0.002713379583742618,6419,0.39016805315894987
6440,21,210698240,0.0027019135369076726,6439,0.3868775199256507
6460,21,211353600,0.0026904457437210466,6459,0.38360042309872
6480,21,212008960,0.002678976527646733,6479,0.3803368608909957
6500,21,212664320,0.002667506212188861,6499,0.3770869299545913
6520,21,213319680,0.002656035120882567,6519,0.3738507253776501
6540,21,213975040,0.0026445635772848735,6539,0.37062834068127704
6552,21,214351872,0.0026379673606726868,6551,0.36878176309856237
6560,22,214614016,0.0026333786957461604,6559,0.3674999093594317
6580,22,215269376,0.002621907209463813,6579,0.3643050875609708
6600,22,215924736,0.00261043623351211,6599,0.3611243545752794
6620,22,216580096,0.0025989660914448177,6619,0.357957797667645
6640,22,217235456,0.002587497106792184,6639,0.35480550252369175
6660,22,217890816,0.0025760296030518082,6659,0.3516675532473729
6680,22,218546176,0.0025645639036795203,6679,0.34854403235914144
6700,22,219201536,0.002553100332080256,6699,0.3454350207942988
6720,22,219856896,0.002541639211598933,6719,0.3423405979015196
6740,22,220512256,0.002530180865511331,6739,0.33926084144155555
6760,22,221167616,0.0025187256170149767,6759,0.3361958275861166
6780,22,221822976,0.0025072737892200252,6779,0.33314563091692945
6800,22,222478336,0.0024958257051401448,6799,0.33011032442497246
6820,22,223133696,0.002484381687683408,6819,0.3270899795098887
6840,22,223789056,0.0024729420596431837,6839,0.32408466597957686
6860,22,224444416,0.0024615071436890294,6859,0.3210944520499558
6864,22,224559104,0.002459506541902113,6863,0.32057272203052484
6880,23,225083392,0.0024503629454444,6879,0.3181935951741223
6900,23,225738752,0.0024389382832769005,6899,0.3152333971644031
6920,23,226394112,0.0024275192923161257,6919,0.31228849228496597
6940,23,227049472,0.0024161062946495395,6939,0.3093589424247861
6960,23,227704832,0.0024046996121955557,6959,0.3064448078823219
6980,23,228360192,0.002393299566694461,6979,0.3035461473663334
7000,23,229015552,0.002381906479699337,6999,0.3006630179968763
7020,23,229670912,0.002370520672566993,7019,0.2977954753064713
7040,23,230326272,0.002359142466448898,7039,0.29494357324144677
7060,23,230981632,0.0023477721822821283,7059,0.2921073641634577
7080,23,231636992,0.0023364101407803064,7079,0.28928689885117403
7100,23,232292352,0.0023250566624245634,7099,0.28648222650214844
7120,23,232947712,0.0023137120674544946,7119,0.28369339473485156
7140,23,233603072,0.0023023766758591283,7139,0.2809204495908825
7160,23,234258432,0.0022910508073678984,7159,0.2781634355373504
7176,23,234766336,0.002282280012656578,7175,0.2760377345962361
7180,24,234897408,0.0022800175595719973,7179,0.2754907264533775
7200,24,235552768,0.002268711437462421,7199,0.2727653008231495
7220,24,236208128,0.0022574157880287326,7219,0.27005592928920863
7240,24,236863488,0.0022461309298793873,7239,0.26736265008698756
7260,24,237518848,0.0022348571813184583,7259,0.2646854998918172
7280,24,238174208,0.0022235948603366597,7279,0.2620245138223255
7300,24,238829568,0.002212344284602374,7299,0.25937972544400395
7320,24,239484928,0.0022011057714526943,7319,0.25675116677294213
7340,24,240140288,0.0021898796378844723,7339,0.2541388682797292
7360,24,240795648,0.00217866620054538,7359,0.25154285889352235
7380,24,241451008,0.002167465775724973,7379,0.24896316600627877
7400,24,242106368,0.002156278679345774,7399,0.24639981547715512
7420,24,242761728,0.002145105226954358,7419,0.24385283163706928
7440,24,243417088,0.0021339457337124536,7439,0.2413222372934268
7460,24,244072448,0.0021228005143880554,7459,0.23880805373501043
7480,24,244727808,0.0021116698833465414,7479,0.2363103007370297
7488,24,244973568,0.002107499721839449,7487,0.2353778831429299
7500,25,245366784,0.002100831863624425,7499,0.23389082856293167
7520,25,246022144,0.0020897309663780133,7519,0.23142557815132095
7540,25,246677504,0.002078645590184016,7539,0.22897680823380742
