horizon,beta1,beta2,lr,sync,awc8,difference,pairedSD,differenceSeed42,differenceSeed43,differenceSeed44
40,0.95,0.999,0.004,3.455179279965129,3.4783882344776074,0.023208954512478286,0.004811428291936992,0.0217096106043968,0.019325720457066264,0.028591532475972237
40,0.95,0.98,0.002,3.457884661836341,3.542217287955111,0.08433262611877002,0.006586203844710995,0.09147579616950718,0.07850063796480367,0.0830214442219992
40,0.95,0.999,0.002,3.4586715671120305,3.506407104674681,0.0477355375626507,0.005172302937888107,0.05228827646887213,0.04211146083139905,0.04880687538768225
40,0.95,0.9,0.004,3.4616216790455865,3.566807359644782,0.10518568059919531,0.0027959433145189646,0.1019729333717545,0.1070677178801489,0.10651639054568207
40,0.95,0.9,0.003,3.4630259848628913,3.575704275659444,0.1126782907965529,0.0009173952102697977,0.11369148346676061,0.11190393630264861,0.11243945262025035
40,0.9,0.98,0.004,3.4633824264297144,3.5394534772979847,0.07607105086827026,0.008674824922287605,0.08464801983918857,0.07626355844777644,0.06730157431784711
40,0.95,0.9,0.002,3.466277856722092,3.5888176008675052,0.12253974414541302,0.0027868301844570127,0.12570342873730356,0.12044824772236096,0.12146755597657499
40,0.9,0.999,0.003,3.471652064386942,3.5079841121773114,0.03633204779036925,0.0064719127106475744,0.04046061019908764,0.03966238274123768,0.0288731504307842
40,0.9,0.98,0.003,3.4722663640623552,3.5502640351623067,0.07799767109995148,0.007910710681047957,0.08175484458100035,0.08332963767066603,0.06890853104818762
40,0.9,0.98,0.002,3.474736075125436,3.567237326147984,0.09250125102254803,0.0034371634750537524,0.09645642267065302,0.0902380856478211,0.09080924474916996
40,0.9,0.9,0.004,3.4773660739727297,3.644773452249172,0.16740737827644248,0.004433800757724726,0.1725001022601238,0.16531567107532563,0.164406361493878
40,0.9,0.999,0.002,3.47878671322999,3.5284653126607206,0.0496785994307305,0.0015976820326909467,0.048589656733330155,0.04893340387324141,0.05151273768561859
40,0.9,0.999,0.004,3.4788124437630192,3.4982385707987085,0.019426127035689245,0.012522594447141495,0.026157438852798087,0.0049774908148170205,0.027143451439451738
