lr,beta1,beta2,seed,unclipped_loss,clipped_loss,clipped_evidence,difference,unclipped_directory,clipped_directory
0.0112,0.9,0.95,42,3.7701014391752508,3.679491270028921,original_files_reaudited,0.09061016914632969,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.95-seed42,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.0112-beta2-0.95-seed42
0.0112,0.9,0.95,43,3.8075617468117917,3.6941092158323796,original_files_reaudited,0.1134525309794121,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.95-seed43,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.0112-beta2-0.95-seed43
0.0112,0.9,0.95,44,3.7581642354264186,3.6561118735829723,original_files_reaudited,0.10205236184344635,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.95-seed44,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.0112-beta2-0.95-seed44
0.0112,0.9,0.98,42,3.770130657118757,3.6675003732052747,original_files_reaudited,0.1026302839134825,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.98-seed42,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.0112-beta2-0.98-seed42
0.0112,0.9,0.98,43,3.842146753740414,3.701886113226706,original_files_reaudited,0.14026064051370835,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.98-seed43,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.0112-beta2-0.98-seed43
0.0112,0.9,0.98,44,3.7921631030040075,3.741284177890576,original_files_reaudited,0.05087892511343162,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.98-seed44,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.0112-beta2-0.98-seed44
0.0112,0.9,0.99,42,3.84892189562662,3.7097515203344558,original_files_reaudited,0.13917037529216403,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.99-seed42,runs/packed4-awc-20m-beta99-lr016-20260911/experiments/packed4-awc-lr0.0112-beta2-0.99-seed42
0.0112,0.9,0.99,43,3.807426590979558,3.7564864867302328,original_files_reaudited,0.05094010424932538,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.99-seed43,runs/packed4-awc-20m-beta99-lr016-20260911/experiments/packed4-awc-lr0.0112-beta2-0.99-seed43
0.0112,0.9,0.99,44,3.787344771060828,3.740385733406258,original_files_reaudited,0.046959037654570324,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.99-seed44,runs/packed4-awc-20m-beta99-lr016-20260911/experiments/packed4-awc-lr0.0112-beta2-0.99-seed44
0.0112,0.9,0.999,42,4.422860523901076,3.8853861595499546,original_files_reaudited,0.5374743643511217,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.999-seed42,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.0112-beta2-0.999-seed42
0.0112,0.9,0.999,43,4.3921653869484425,4.146007753924175,original_files_reaudited,0.24615763302426785,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.999-seed43,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.0112-beta2-0.999-seed43
0.0112,0.9,0.999,44,4.03122486201238,4.094701716434412,original_files_reaudited,-0.06347685442203232,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0112-beta1-0.9-beta2-0.999-seed44,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.0112-beta2-0.999-seed44
